,NSW air quality monitoring (AQMN) site,AQMN Region,"Sub-region,where applicable",Site address,"Latitude
(South)","Longitude
(East)",Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10,PM2.5,TSP (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,WSP/WD/SD1,TEMP/RH,SOLAR,PRECIPITATION,Black Carbon,Web link to station meta data page
,Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney
,Bargo,Sydney,Sydney south west,Silica Rd,-34.30630,150.58060,365,1996,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/bargo
,Blacktown ,Sydney,Sydney north west,Flushcombe Rd,-33.77991,150.90575,75,1992,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,ü,ü,ü,ü,ü,,ü,ü,ü,,,Not available
,Bringelly,Sydney,Sydney south west,Ramsay Rd,-33.91765,150.76193,53,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/bringelly
,Camden,Sydney,Sydney south west,Camden Airport,-34.04170,150.69014,73,2012,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/camden
,Campbelltown,Sydney,Sydney south west,Cronulla Cresent,-34.05610,150.81220,84,1976,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,ü,,ü,,,,ü,,,,,Not available
,Campbelltown West,Sydney,Sydney south west,Campbelltown TAFE,-34.06667,150.79554,112,2012,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/campbelltown-west
,Chullora,Sydney,Sydney east,Southern Sydney TAFE - Worth St,-33.89157,151.04606,32,2003,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/chullora
,Cook and Phillip,Sydney,Sydney east,"Cook and Phillip Park, Sydney CBD",-33.87247,151.21334,26,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/cook-and-phillip-sydney-cbd
,Earlwood,Sydney,Sydney east,Beaman Park,-33.91618,151.13579,7,1978,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,,,ü,ü,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/earlwood
,Lidcombe,Sydney,Sydney east,"71 East Street, Lidcombe, NSW 2141",-33.88141,151.04678,39,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/lidcombe
,Lidcombe (former),Sydney,Sydney east,EPA Laboratories,-33.88416,151.04325,5,1974,Decommissioned (2002),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,,ü,ü,,,ü,ü,,,,Not available
,Lindfield,Sydney,Sydney east,Bradfield Rd,-33.78113,151.15090,60,1994,Decommissioned (2019),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,ü,ü,ü,ü,,,ü,ü,,,,Not available
,Liverpool,Sydney,Sydney south west,Rose St,-33.93130,150.90730,22,1991,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,ü,ü,ü,ü,ü,,ü,ü,,,ü,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/liverpool
,Macarthur,Sydney,Sydney south west,UWS Campbelltown Campus,-34.07087,150.78218,104,2004,Decommissioned (2015),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,ü,ü,ü,ü,ü,,ü,ü,,,,Not available
